143, 1937, 2020-01-01, Standing Fees,  175.00, 26.25, 201.25
144, 1935, 2021-02-13, Rental Fees, 300.00, 45.00, 345.00
145, 1938, 2022-07-01, Standing Fees, 175.00, 26.25, 201.25
146, 1938, 2018-04-01, Standing Fees, 175.00, 26.25, 201.25
147, 1934, 2017-06-22, Rental Fees, 300.00, 45.00, 345.00
148, 1938, 2021-07-01, Standing Fees, 175.00, 26.25, 201.25
149, 1937, 2019-05-01, Standing Fees, 175.00, 26.25, 201.25
150, 1935, 2016-02-19, Rental Fees, 180.00, 27.00, 207.00
151, 1937, 2016-09-01, Standing Fees, 175.00, 26.25, 201.25
152, 1935, 2023-12-12, Rental Fees, 60.00, 9.00, 69.00
153, 1936, 2020-06-17, Rental Fees, 120.00, 18.00, 138.00
154, 1934, 2019-03-07, Rental Fees, 600.00, 90.00, 690.00
155, 1937, 2018-09-01, Standing Fees, 175.00, 26.25, 201.25
156, 1934, 2017-10-12, Rental Fees, 240.00, 36.00, 276.00
157, 1938, 2015-07-01, Standing Fees, 175.00, 26.25, 201.25
