501, 1934, 2019-02-14, 299.99, 45.00, 344.99
502, 1935, 2020-04-16, 189.99, 28.50, 218.49
503, 1936, 2021-07-16, 100.00, 15.00, 115.00
504, 1936, 2022-08-01, 500.00, 75.00, 575.00
505, 1935, 2023-06-14, 1000.00, 150.00, 1150.00
506, 1935, 2018-01-10, 700.00, 105.00, 805.00
507, 1934, 2020-08-19, 429.99, 64.49, 494.48
508, 1934, 2021-02-17, 800.00, 120.00, 920.00
509, 1936, 2023-12-12, 900.00, 135.00, 1035.00
510, 1934, 2018-07-15, 99.99, 14.99, 114.98
511, 1936, 2017-04-09, 50.00, 7.5, 57.5
512, 1936, 2019-05-16, 75.00, 11.25, 86.25
513, 1935, 2022-10-13, 49.99, 7.49, 57.48 
